Episode,Title,URL,Status,Date,Duration
84,क्या Cricketer की Missing Daughter को ढूँढ पाएगी CID? | CID Season 2 | Full Episode | Ep 84,https://www.youtube.com/watch?v=HkRDz5ScJ7I,Found,07 Jul 2026,44:51
85,CID (सीआईडी) Season 1 - Episode 85 - Anonymous Lady Inside The Car - Full Episode,https://www.youtube.com/watch?v=YPjkPLFN2MU,Found,06 Sep 2021,22:00
86,CID (सीआईडी) Season 1 - Episode 86 - Anonymous Lady Inside The Car - Part - 2 - Full Episode,https://www.youtube.com/watch?v=HksftoSYSrk,Found,06 Sep 2021,20:11
87,Mangalsutra ने कैसे पहुँचाया CID को Criminal तक? | CID Season 2 | Full Episode | Ep 87,https://www.youtube.com/watch?v=9npwsrp7Q-Y,Found,07 Jul 2026,45:04
88,एक Obsessed Fan के चक्कर में कहाँ पहुंच गई Team CID? | CID Season 2 | Full Episode | Ep 88,https://www.youtube.com/watch?v=h0PcHLvbReA,Found,07 Jul 2026,43:15
89,CID Episode 89. CID Series 2 | Mysterious Warning! Who Is the Real Culprit Hiding? | Full Episode.,https://www.youtube.com/watch?v=rtgLL0t7-2k,Found,07 Jul 2026,46:13
90,क्या खून से लिखे Message की Help से Culprit को ढूंढ पाएगी CID? | CID Season 2 | Full Episode | Ep 90,https://www.youtube.com/watch?v=f61M-aUhtEg,Found,07 Jul 2026,45:03
91,CID कैसे Decode करेगी Fortune Teller की Crime Mystery? | CID Season 2 | Full Episode | Ep 91,https://www.youtube.com/watch?v=EcIbJZwZ-gE,Found,06 Aug 2026,45:31
92,कैसे मिला Team CID को Cement में दफन एक शव? | CID Season 2 | Full  Episode | Ep 92,https://www.youtube.com/watch?v=_2qXgblNGfY,Found,06 Aug 2026,46:31
93,एक Mirror के Curse में फंस गई Team CID | CID Season 2 | Full  Episode | Ep 93,https://www.youtube.com/watch?v=T6ov4azJuac,Found,06 Aug 2026,45:33
94,CID कैसे खोलेगी Business Rivalry और Family Betrayal का राज़? | CID Season 2 | Full Episode | Ep 94,https://www.youtube.com/watch?v=6iBCP25Q7Bw,Found,06 Aug 2026,44:02
95,एक Businessman के घर से मिले Evidences ने किया CID को Shock | CID Season 2 | Full Episode | Ep 95,https://www.youtube.com/watch?v=fd7U8Ui3UXg,Found,08 Aug 2026,46:04
96,क्यों बन गई Team CID की Picnic एक खौफनाक Mystery? | CID Season 2 | Full Episode | Ep 96,https://www.youtube.com/watch?v=gulLeGf7c4Q,Found,08 Aug 2026,46:17
97,CID कैसे सुलझाएगी Headless Body की Mystery? | CID Season 2 | Full Episode | Ep 97,https://www.youtube.com/watch?v=-ZVEyn0nUW4,Found,08 Aug 2026,46:23
98,CID के Investigation में आया Shocking Twist! | CID Season 2 | Full Episode | Ep 98,https://www.youtube.com/watch?v=TDRIYvyNZ_k,Found,15 Aug 2026,44:47
99,एक SOS Call ने CID को पहुँचाया किसी सुनसान जगह पर | CID Season 2 | Full Episode | Ep 99,https://www.youtube.com/watch?v=i7dP16gl3O4,Found,15 Aug 2026,46:22
100,क्या Rakshak Baba की Mystery को Uncover कर पाएगी CID? | CID Season 2 | Full Episode | Ep 100,https://www.youtube.com/watch?v=0mU5rNQTO98,Found,15 Aug 2026,46:13
500,CID (सीआईडी) Season 1 - Episode 500 - The Case Of A Poisonous Dart - Full Episode,https://www.youtube.com/watch?v=2JbXvEM-9Pg,Found,06 Sep 2022,41:11
501,CID (सीआईडी) Season 1 - Episode 501 - The Transfer Of The Power Of Attorney - Full Episode,https://www.youtube.com/watch?v=7QV670RQHSU,Found,06 Sep 2022,42:41
1000,CID  - सीआईडी - Ep 1000 - Mouse Trap Part- 1 - Full Episode,https://www.youtube.com/watch?v=vUwkTS1lsG4,Found,06 Sep 2021,43:48
1001,CID  - सीआईडी - Ep 1001 - Mouse Trap Part- 2 - Full Episode,https://www.youtube.com/watch?v=jUWgjcCbeL0,Found,06 Sep 2021,43:48
1400,"CID - Full Episode 1400 - 10th March, 2019",https://www.youtube.com/watch?v=v1_NxJnT7-Q,Found,Official,41:18
1401,"CID - सी आई डी - Bhavishyavani -  Episode 1401 - 14th January, 2017",https://www.youtube.com/watch?v=IVShyTcNIG4,Found,07 Sep 2017,43:08
